trip_duration,fare_amount,pickup_location,drop_location,payment_mode,driver_rating,start_hour,day_of_week
51,218.25,Electronic City,MG Road,Online,4.2,6,Sunday
55,222.87,Jayanagar,Banashankari,Cash,5.0,3,Monday
48,154.66,Electronic City,HSR Layout,Online,5.0,9,Wednesday
59,278.67,Indiranagar,Banashankari,Cash,4.7,9,Saturday
56,217.54,Whitefield,Banashankari,Online,4.5,10,Saturday
7,226.82,Jayanagar,MG Road,Online,3.8,2,Wednesday
41,262.66,Indiranagar,HSR Layout,Cash,4.5,13,Wednesday
55,104.0,Electronic City,Banashankari,Online,4.9,12,Monday
11,247.91,Whitefield,HSR Layout,Online,3.0,18,Friday
25,82.71,Indiranagar,Marathahalli,Online,4.1,9,Friday
13,123.24,Whitefield,Banashankari,Online,3.4,14,Wednesday
43,120.61,Indiranagar,Banashankari,Online,4.1,7,Thursday
22,294.2,Electronic City,HSR Layout,Online,3.9,16,Saturday
8,261.27,Whitefield,Marathahalli,Online,4.2,5,Tuesday
29,219.32,Indiranagar,Banashankari,Online,4.1,6,Wednesday
18,226.31,Electronic City,MG Road,Cash,4.9,13,Saturday
54,181.76,Jayanagar,HSR Layout,Online,4.1,7,Tuesday
13,285.71,Electronic City,HSR Layout,Online,4.7,11,Sunday
30,163.99,Electronic City,Banashankari,Cash,3.6,17,Tuesday
57,132.74,Jayanagar,Marathahalli,Cash,3.9,13,Wednesday
6,74.02,Electronic City,Banashankari,Cash,3.9,0,Friday
24,242.28,Jayanagar,BTM Layout,Cash,3.6,3,Thursday
32,228.3,Jayanagar,Banashankari,Cash,3.8,16,Saturday
51,133.78,Jayanagar,BTM Layout,Cash,4.2,17,Wednesday
11,36.8,Indiranagar,MG Road,Online,4.2,18,Tuesday
48,256.53,Whitefield,HSR Layout,Cash,4.3,3,Saturday
12,33.08,Indiranagar,HSR Layout,Cash,3.7,5,Monday
51,220.0,Jayanagar,Marathahalli,Cash,3.6,7,Sunday
39,291.97,Whitefield,Banashankari,Cash,4.2,14,Monday
18,148.17,Whitefield,MG Road,Cash,3.3,19,Saturday
21,93.44,Jayanagar,BTM Layout,Online,3.5,0,Saturday
40,220.32,Whitefield,Marathahalli,Online,3.1,4,Tuesday
54,250.62,Whitefield,MG Road,Online,3.1,15,Wednesday
44,177.54,Indiranagar,MG Road,Online,3.5,20,Friday
8,291.1,Whitefield,BTM Layout,Cash,3.0,5,Wednesday
6,43.95,Jayanagar,BTM Layout,Cash,3.5,20,Thursday
10,166.29,Koramangala,HSR Layout,Cash,4.3,9,Saturday
58,223.98,Koramangala,Banashankari,Online,3.1,9,Monday
46,262.91,Koramangala,Marathahalli,Cash,3.9,4,Tuesday
8,78.4,Jayanagar,Banashankari,Online,4.8,7,Friday
58,246.0,Koramangala,Marathahalli,Cash,4.6,0,Sunday
33,179.23,Indiranagar,MG Road,Cash,3.6,4,Wednesday
22,137.07,Jayanagar,BTM Layout,Online,4.8,0,Thursday
30,65.56,Jayanagar,BTM Layout,Online,3.7,6,Wednesday
48,263.63,Jayanagar,MG Road,Online,3.1,14,Sunday
38,72.46,Whitefield,MG Road,Online,5.0,22,Thursday
14,113.64,Whitefield,Marathahalli,Online,4.7,23,Wednesday
40,108.31,Whitefield,MG Road,Online,3.9,13,Friday
18,265.28,Electronic City,Marathahalli,Online,4.3,22,Friday
35,211.63,Indiranagar,Banashankari,Cash,4.3,8,Tuesday
52,245.1,Jayanagar,BTM Layout,Online,3.4,7,Friday
19,97.63,Jayanagar,BTM Layout,Online,3.4,7,Thursday
12,198.72,Whitefield,BTM Layout,Cash,3.9,2,Tuesday
18,184.37,Jayanagar,Banashankari,Online,4.8,19,Sunday
27,254.86,Jayanagar,Banashankari,Online,3.0,3,Friday
44,274.64,Koramangala,HSR Layout,Online,4.6,16,Monday
25,33.28,Jayanagar,Marathahalli,Cash,3.1,5,Sunday
20,211.99,Electronic City,Marathahalli,Online,4.0,1,Thursday
49,44.0,Whitefield,HSR Layout,Online,4.3,8,Sunday
22,178.19,Indiranagar,BTM Layout,Online,4.4,13,Sunday
51,107.66,Indiranagar,Marathahalli,Cash,3.1,0,Tuesday
57,112.83,Koramangala,Marathahalli,Online,3.8,16,Thursday
28,125.3,Indiranagar,BTM Layout,Cash,4.2,10,Tuesday
30,197.75,Indiranagar,MG Road,Online,3.1,5,Thursday
29,120.19,Whitefield,MG Road,Cash,3.3,0,Monday
49,227.83,Whitefield,HSR Layout,Online,4.3,18,Sunday
45,139.22,Electronic City,Banashankari,Online,4.0,15,Friday
33,48.46,Koramangala,Marathahalli,Cash,3.3,17,Wednesday
19,241.62,Indiranagar,Marathahalli,Cash,4.1,10,Sunday
49,107.15,Electronic City,HSR Layout,Cash,4.8,8,Wednesday
5,146.85,Koramangala,HSR Layout,Cash,3.0,20,Wednesday
29,215.07,Indiranagar,Marathahalli,Cash,4.3,5,Sunday
11,119.76,Indiranagar,BTM Layout,Online,3.1,1,Tuesday
13,45.28,Whitefield,BTM Layout,Online,3.0,7,Friday
28,130.96,Jayanagar,Banashankari,Online,3.3,21,Sunday
5,285.0,Koramangala,Marathahalli,Online,3.8,15,Saturday
48,203.27,Indiranagar,Marathahalli,Cash,4.6,7,Tuesday
12,211.3,Koramangala,Marathahalli,Cash,3.6,7,Sunday
28,200.72,Electronic City,Marathahalli,Cash,4.3,13,Sunday
15,83.73,Electronic City,HSR Layout,Online,3.8,0,Tuesday
55,142.95,Jayanagar,MG Road,Online,3.5,6,Sunday
21,232.75,Indiranagar,Marathahalli,Cash,4.0,1,Tuesday
12,57.37,Whitefield,MG Road,Cash,4.6,14,Sunday
39,105.02,Indiranagar,BTM Layout,Online,4.7,23,Saturday
39,104.61,Koramangala,Banashankari,Online,4.7,17,Sunday
37,146.65,Electronic City,BTM Layout,Online,3.7,3,Tuesday
9,294.7,Koramangala,Marathahalli,Cash,4.6,17,Friday
46,48.23,Jayanagar,BTM Layout,Online,3.4,22,Sunday
43,170.05,Electronic City,HSR Layout,Online,4.5,4,Wednesday
45,78.43,Whitefield,MG Road,Online,4.9,15,Thursday
32,292.08,Electronic City,Marathahalli,Online,3.0,12,Tuesday
11,60.59,Indiranagar,HSR Layout,Online,3.9,8,Sunday
13,138.97,Indiranagar,MG Road,Cash,4.3,4,Friday
12,229.23,Electronic City,HSR Layout,Cash,4.4,7,Monday
16,220.23,Jayanagar,BTM Layout,Online,3.4,17,Thursday
38,144.14,Indiranagar,Marathahalli,Online,4.9,2,Tuesday
37,123.56,Indiranagar,BTM Layout,Online,4.2,5,Tuesday
52,137.36,Whitefield,Banashankari,Online,3.3,10,Sunday
59,101.35,Electronic City,Marathahalli,Cash,3.0,22,Thursday
27,85.44,Indiranagar,BTM Layout,Online,4.6,13,Thursday
28,160.42,Jayanagar,Marathahalli,Cash,3.2,23,Tuesday
41,102.5,Koramangala,MG Road,Online,3.3,18,Friday
39,107.61,Electronic City,Marathahalli,Online,4.1,6,Monday
48,207.32,Whitefield,Marathahalli,Online,4.2,23,Sunday
44,291.51,Indiranagar,MG Road,Cash,4.4,9,Friday
26,192.98,Jayanagar,BTM Layout,Online,3.8,14,Saturday
31,50.78,Electronic City,Marathahalli,Online,4.5,5,Wednesday
39,50.41,Jayanagar,HSR Layout,Cash,4.9,19,Wednesday
5,286.88,Jayanagar,Marathahalli,Online,3.5,5,Wednesday
39,110.27,Whitefield,BTM Layout,Online,4.4,15,Tuesday
41,54.86,Electronic City,MG Road,Online,4.9,8,Sunday
51,191.74,Indiranagar,BTM Layout,Online,4.4,18,Sunday
18,198.39,Whitefield,Banashankari,Cash,4.4,17,Monday
7,205.1,Indiranagar,Marathahalli,Online,3.4,4,Monday
5,102.2,Koramangala,Marathahalli,Online,4.1,15,Sunday
9,34.08,Jayanagar,MG Road,Cash,4.1,6,Saturday
30,290.55,Koramangala,Marathahalli,Cash,4.4,18,Tuesday
59,97.74,Jayanagar,HSR Layout,Cash,5.0,4,Tuesday
18,212.53,Whitefield,HSR Layout,Cash,3.1,19,Tuesday
43,220.79,Indiranagar,BTM Layout,Online,3.1,10,Monday
31,194.7,Indiranagar,MG Road,Online,3.2,22,Tuesday
13,114.48,Whitefield,Banashankari,Online,4.5,17,Thursday
19,103.2,Electronic City,BTM Layout,Cash,3.3,6,Thursday
19,191.37,Koramangala,MG Road,Online,4.2,17,Thursday
30,263.85,Koramangala,MG Road,Online,3.6,2,Tuesday
46,285.62,Indiranagar,BTM Layout,Online,3.9,4,Thursday
17,58.59,Indiranagar,BTM Layout,Online,3.4,22,Sunday
55,71.8,Indiranagar,Marathahalli,Online,4.7,12,Saturday
36,285.08,Whitefield,Banashankari,Online,4.2,15,Tuesday
43,228.86,Electronic City,HSR Layout,Cash,4.9,21,Saturday
53,268.41,Koramangala,Marathahalli,Online,4.1,11,Thursday
56,84.71,Jayanagar,MG Road,Online,3.2,6,Tuesday
36,188.65,Whitefield,Banashankari,Online,3.3,21,Friday
8,219.31,Koramangala,Banashankari,Online,5.0,12,Wednesday
34,213.63,Electronic City,BTM Layout,Cash,4.5,0,Friday
41,140.2,Whitefield,Banashankari,Online,3.1,14,Wednesday
27,34.16,Koramangala,Banashankari,Online,4.4,20,Wednesday
43,187.39,Whitefield,MG Road,Online,3.8,11,Thursday
49,98.34,Koramangala,Marathahalli,Cash,3.6,16,Wednesday
19,151.57,Koramangala,Banashankari,Online,3.3,22,Wednesday
47,288.55,Electronic City,BTM Layout,Online,4.7,19,Friday
33,137.74,Jayanagar,Marathahalli,Online,3.1,4,Wednesday
40,256.75,Electronic City,BTM Layout,Cash,3.6,16,Tuesday
17,80.91,Koramangala,Banashankari,Cash,3.6,23,Saturday
36,211.56,Whitefield,Marathahalli,Online,3.3,14,Sunday
11,293.79,Electronic City,Banashankari,Cash,4.0,19,Saturday
55,57.51,Jayanagar,MG Road,Online,3.0,18,Tuesday
26,32.25,Koramangala,Marathahalli,Online,3.6,0,Sunday
32,147.07,Electronic City,BTM Layout,Online,4.9,3,Thursday
6,55.01,Electronic City,MG Road,Online,3.6,2,Sunday
46,232.06,Electronic City,HSR Layout,Cash,3.7,7,Sunday
49,276.93,Electronic City,BTM Layout,Online,3.9,8,Friday
57,147.19,Whitefield,Banashankari,Online,4.1,11,Sunday
10,99.85,Jayanagar,BTM Layout,Online,4.6,4,Sunday
32,147.29,Jayanagar,HSR Layout,Online,3.4,8,Monday
32,225.33,Koramangala,BTM Layout,Online,4.7,0,Saturday
48,32.44,Indiranagar,MG Road,Cash,4.5,22,Friday
48,189.15,Whitefield,BTM Layout,Online,4.4,10,Saturday
24,195.59,Koramangala,Marathahalli,Online,3.2,6,Monday
34,202.18,Koramangala,HSR Layout,Online,3.0,21,Wednesday
15,95.35,Electronic City,BTM Layout,Online,4.2,19,Monday
59,222.79,Indiranagar,HSR Layout,Cash,4.7,13,Wednesday
32,54.68,Indiranagar,MG Road,Online,4.2,2,Saturday
29,83.8,Whitefield,Marathahalli,Online,3.4,10,Sunday
43,266.92,Indiranagar,Banashankari,Cash,3.2,16,Friday
37,229.46,Koramangala,BTM Layout,Online,4.4,17,Friday
5,33.71,Indiranagar,MG Road,Cash,4.4,18,Thursday
31,97.06,Indiranagar,HSR Layout,Online,3.3,17,Saturday
56,87.89,Jayanagar,HSR Layout,Cash,3.1,5,Thursday
17,103.12,Koramangala,MG Road,Online,3.8,14,Sunday
45,96.84,Indiranagar,BTM Layout,Cash,4.2,6,Saturday
7,46.88,Indiranagar,Banashankari,Online,4.4,4,Sunday
43,153.91,Electronic City,BTM Layout,Online,4.6,4,Wednesday
10,227.84,Indiranagar,Marathahalli,Cash,4.2,6,Saturday
12,193.82,Indiranagar,BTM Layout,Online,3.2,21,Saturday
31,211.68,Jayanagar,Marathahalli,Cash,4.4,11,Wednesday
13,51.91,Koramangala,HSR Layout,Online,5.0,7,Tuesday
41,286.9,Whitefield,Marathahalli,Online,4.8,17,Sunday
37,256.39,Koramangala,Banashankari,Online,4.7,17,Tuesday
55,247.37,Electronic City,MG Road,Online,3.6,16,Saturday
46,252.21,Koramangala,Marathahalli,Cash,4.5,22,Tuesday
48,281.83,Indiranagar,BTM Layout,Cash,4.7,10,Friday
28,176.95,Electronic City,Marathahalli,Online,4.4,14,Saturday
19,84.08,Koramangala,HSR Layout,Cash,3.5,19,Monday
58,196.53,Electronic City,Marathahalli,Online,4.9,5,Wednesday
36,230.58,Whitefield,Banashankari,Cash,3.9,11,Thursday
36,229.24,Koramangala,Marathahalli,Online,3.3,22,Wednesday
28,170.79,Indiranagar,Banashankari,Cash,3.2,6,Saturday
45,48.48,Electronic City,BTM Layout,Online,4.3,7,Monday
56,130.2,Jayanagar,HSR Layout,Cash,3.9,3,Wednesday
53,278.61,Electronic City,MG Road,Cash,3.2,2,Thursday
53,187.8,Jayanagar,BTM Layout,Online,4.5,2,Thursday
56,175.35,Indiranagar,BTM Layout,Cash,4.6,9,Monday
16,102.59,Whitefield,MG Road,Online,4.5,23,Thursday
43,129.48,Jayanagar,Marathahalli,Online,3.4,14,Friday
6,271.74,Whitefield,Marathahalli,Cash,4.4,12,Thursday
7,209.95,Electronic City,Marathahalli,Online,3.0,18,Sunday
53,242.59,Indiranagar,HSR Layout,Online,3.6,7,Monday
41,152.67,Jayanagar,BTM Layout,Online,3.8,17,Monday
53,200.17,Electronic City,Banashankari,Online,4.7,4,Wednesday
21,97.06,Koramangala,MG Road,Online,3.8,20,Thursday
53,220.47,Electronic City,BTM Layout,Cash,3.0,6,Thursday
6,145.45,Whitefield,Marathahalli,Cash,3.7,4,Saturday
6,149.49,Indiranagar,MG Road,Online,4.0,18,Saturday
32,205.32,Indiranagar,Banashankari,Online,4.9,16,Monday
58,282.8,Electronic City,BTM Layout,Cash,4.9,18,Saturday
27,47.28,Koramangala,BTM Layout,Online,3.4,3,Wednesday
41,252.68,Whitefield,HSR Layout,Online,3.4,21,Sunday
36,108.94,Electronic City,BTM Layout,Cash,3.3,23,Wednesday
37,149.86,Electronic City,BTM Layout,Cash,4.6,6,Friday
5,35.92,Indiranagar,Banashankari,Online,3.0,23,Sunday
23,111.28,Whitefield,Banashankari,Cash,3.3,21,Friday
6,165.71,Koramangala,MG Road,Cash,4.1,5,Monday
57,45.17,Indiranagar,Marathahalli,Cash,3.5,13,Wednesday
48,162.6,Electronic City,Banashankari,Online,3.2,21,Wednesday
30,280.32,Indiranagar,MG Road,Online,3.7,18,Friday
36,58.46,Indiranagar,BTM Layout,Cash,3.5,19,Sunday
10,236.4,Jayanagar,MG Road,Cash,4.0,10,Saturday
36,140.61,Indiranagar,MG Road,Online,5.0,21,Friday
59,206.9,Indiranagar,MG Road,Online,3.2,6,Monday
8,100.26,Whitefield,MG Road,Online,3.7,2,Sunday
59,73.06,Indiranagar,Banashankari,Online,4.9,19,Wednesday
15,73.32,Koramangala,Marathahalli,Online,4.8,21,Monday
21,49.03,Electronic City,MG Road,Cash,3.8,16,Friday
42,80.12,Whitefield,HSR Layout,Online,4.4,10,Thursday
28,209.34,Indiranagar,BTM Layout,Online,3.2,14,Friday
9,268.06,Koramangala,BTM Layout,Online,4.4,6,Wednesday
56,249.81,Electronic City,BTM Layout,Online,4.9,14,Monday
38,214.99,Whitefield,BTM Layout,Cash,4.1,16,Saturday
10,59.82,Koramangala,BTM Layout,Cash,4.0,10,Saturday
26,108.08,Indiranagar,MG Road,Online,3.4,11,Wednesday
15,113.65,Jayanagar,Marathahalli,Online,4.3,12,Friday
52,97.49,Jayanagar,HSR Layout,Online,4.2,10,Friday
20,169.05,Whitefield,Banashankari,Online,4.3,10,Tuesday
37,174.6,Koramangala,HSR Layout,Cash,3.1,8,Friday
13,126.36,Electronic City,Banashankari,Cash,4.1,10,Wednesday
10,125.52,Koramangala,Banashankari,Online,4.2,3,Sunday
20,253.71,Jayanagar,HSR Layout,Cash,3.4,1,Sunday
33,243.11,Whitefield,MG Road,Online,3.4,22,Monday
7,113.1,Indiranagar,BTM Layout,Cash,3.6,3,Monday
24,276.72,Koramangala,MG Road,Online,4.4,13,Tuesday
40,287.26,Jayanagar,BTM Layout,Online,4.2,4,Saturday
23,118.22,Electronic City,Marathahalli,Online,4.7,16,Wednesday
30,125.69,Whitefield,Banashankari,Cash,3.6,11,Friday
7,166.52,Indiranagar,HSR Layout,Online,4.8,5,Thursday
23,284.1,Koramangala,Marathahalli,Online,4.5,11,Monday
24,266.61,Electronic City,BTM Layout,Online,3.8,14,Wednesday
36,57.69,Indiranagar,MG Road,Cash,3.2,22,Sunday
11,136.04,Jayanagar,HSR Layout,Cash,3.5,18,Tuesday
56,179.41,Jayanagar,Banashankari,Cash,4.9,9,Thursday
45,165.85,Electronic City,Marathahalli,Cash,3.6,1,Saturday
37,82.34,Jayanagar,Banashankari,Online,3.7,11,Wednesday
44,261.88,Whitefield,BTM Layout,Online,3.4,11,Friday
43,212.77,Electronic City,Banashankari,Cash,4.6,6,Saturday
22,256.24,Jayanagar,MG Road,Cash,3.6,0,Sunday
44,261.87,Koramangala,Marathahalli,Cash,3.7,17,Monday
5,232.06,Jayanagar,Marathahalli,Online,3.8,2,Sunday
15,148.59,Whitefield,MG Road,Online,3.9,19,Friday
32,194.85,Indiranagar,Banashankari,Online,3.8,4,Tuesday
29,73.3,Indiranagar,MG Road,Online,4.0,19,Monday
54,211.88,Jayanagar,HSR Layout,Online,4.6,14,Thursday
27,78.4,Indiranagar,MG Road,Cash,4.6,9,Monday
35,217.37,Jayanagar,Banashankari,Cash,4.6,18,Sunday
34,91.99,Whitefield,MG Road,Online,3.2,0,Friday
46,61.74,Indiranagar,BTM Layout,Online,4.6,6,Saturday
39,74.63,Koramangala,MG Road,Cash,3.2,21,Wednesday
11,30.54,Jayanagar,MG Road,Cash,3.2,17,Sunday
20,224.06,Indiranagar,Banashankari,Cash,4.9,1,Wednesday
30,227.75,Whitefield,HSR Layout,Online,4.6,18,Wednesday
52,169.03,Whitefield,HSR Layout,Online,4.1,23,Sunday
56,73.57,Koramangala,Banashankari,Online,4.7,23,Sunday
53,52.56,Whitefield,Banashankari,Cash,5.0,9,Sunday
6,35.16,Whitefield,Banashankari,Cash,4.2,14,Tuesday
5,74.75,Indiranagar,BTM Layout,Cash,4.2,9,Tuesday
52,270.53,Jayanagar,Marathahalli,Online,4.5,9,Wednesday
16,95.21,Electronic City,MG Road,Online,3.5,11,Thursday
9,125.65,Whitefield,Banashankari,Online,3.3,7,Friday
41,58.44,Whitefield,Banashankari,Cash,4.5,22,Thursday
36,90.04,Electronic City,Banashankari,Online,3.7,13,Sunday
59,170.19,Whitefield,HSR Layout,Online,3.3,1,Sunday
13,194.09,Indiranagar,Banashankari,Online,3.6,16,Wednesday
45,96.25,Indiranagar,MG Road,Online,3.7,5,Friday
39,45.59,Electronic City,Banashankari,Online,4.9,7,Tuesday
23,135.58,Whitefield,MG Road,Online,4.4,0,Monday
52,93.23,Whitefield,BTM Layout,Cash,4.1,2,Monday
20,89.28,Jayanagar,Marathahalli,Cash,4.9,14,Friday
7,289.16,Whitefield,HSR Layout,Cash,4.8,16,Thursday
24,196.4,Indiranagar,MG Road,Online,4.0,6,Friday
28,180.36,Koramangala,BTM Layout,Online,4.8,13,Thursday
58,142.26,Koramangala,Marathahalli,Cash,3.8,23,Sunday
37,145.81,Koramangala,Marathahalli,Online,3.5,2,Saturday
28,176.04,Koramangala,Marathahalli,Online,3.5,17,Thursday
56,218.04,Whitefield,MG Road,Online,4.3,21,Monday
15,219.58,Whitefield,BTM Layout,Online,4.0,4,Tuesday
53,76.36,Jayanagar,Banashankari,Online,4.3,19,Wednesday
12,165.03,Whitefield,BTM Layout,Cash,4.4,21,Sunday
40,141.23,Koramangala,BTM Layout,Cash,3.0,14,Tuesday
42,265.04,Electronic City,BTM Layout,Online,3.1,5,Wednesday
44,200.48,Electronic City,MG Road,Cash,4.1,2,Saturday
24,173.78,Indiranagar,MG Road,Cash,3.4,17,Monday
39,61.16,Indiranagar,MG Road,Online,4.3,23,Sunday
52,193.52,Whitefield,BTM Layout,Online,4.1,19,Wednesday
29,61.65,Electronic City,MG Road,Online,4.2,21,Saturday
39,121.05,Koramangala,Marathahalli,Cash,3.6,2,Sunday
29,68.57,Koramangala,MG Road,Online,4.3,7,Thursday
33,216.86,Koramangala,HSR Layout,Cash,4.7,18,Friday
22,85.69,Whitefield,MG Road,Cash,5.0,17,Sunday
50,135.8,Whitefield,MG Road,Online,4.7,14,Sunday
22,271.83,Jayanagar,MG Road,Cash,4.1,22,Wednesday
6,85.17,Koramangala,MG Road,Cash,3.4,13,Tuesday
58,167.11,Koramangala,HSR Layout,Online,4.4,15,Monday
39,143.2,Whitefield,Banashankari,Cash,4.9,2,Monday
20,34.89,Whitefield,MG Road,Online,3.4,14,Sunday
45,244.04,Jayanagar,Marathahalli,Online,3.5,18,Sunday
40,48.64,Jayanagar,HSR Layout,Online,3.3,7,Saturday
37,158.05,Indiranagar,Banashankari,Cash,4.5,1,Friday
8,181.38,Electronic City,MG Road,Online,3.8,16,Thursday
37,199.68,Koramangala,Banashankari,Cash,3.1,11,Sunday
18,215.93,Koramangala,Marathahalli,Online,4.7,18,Thursday
25,98.38,Jayanagar,HSR Layout,Cash,4.1,10,Monday
52,32.69,Jayanagar,HSR Layout,Cash,3.7,17,Thursday
24,225.33,Indiranagar,Banashankari,Online,3.7,12,Sunday
12,174.63,Electronic City,MG Road,Cash,3.6,13,Sunday
11,255.75,Indiranagar,BTM Layout,Cash,3.9,11,Saturday
7,251.77,Electronic City,HSR Layout,Cash,3.7,14,Friday
21,257.7,Koramangala,BTM Layout,Online,4.1,22,Monday
37,160.98,Indiranagar,HSR Layout,Cash,4.5,20,Thursday
52,120.08,Jayanagar,MG Road,Online,4.3,7,Wednesday
16,243.72,Indiranagar,MG Road,Cash,3.6,1,Wednesday
55,151.85,Indiranagar,HSR Layout,Online,4.1,7,Saturday
26,79.53,Koramangala,Banashankari,Online,4.7,22,Thursday
59,260.84,Jayanagar,MG Road,Online,3.1,4,Wednesday
26,268.29,Jayanagar,MG Road,Online,3.2,1,Friday
50,155.9,Whitefield,Marathahalli,Cash,4.1,9,Tuesday
34,50.44,Whitefield,MG Road,Cash,4.3,22,Friday
42,134.71,Whitefield,Marathahalli,Cash,3.4,9,Saturday
42,246.96,Koramangala,MG Road,Online,4.5,3,Friday
49,273.48,Indiranagar,MG Road,Online,4.3,3,Thursday
55,84.94,Jayanagar,Banashankari,Online,4.8,7,Sunday
58,48.08,Jayanagar,Banashankari,Cash,3.3,5,Friday
12,266.88,Indiranagar,MG Road,Online,4.5,14,Thursday
31,135.14,Jayanagar,HSR Layout,Online,3.2,17,Monday
31,176.28,Indiranagar,HSR Layout,Online,4.1,20,Thursday
38,291.38,Koramangala,MG Road,Online,4.1,21,Saturday
25,47.97,Koramangala,HSR Layout,Cash,3.8,7,Thursday
34,205.05,Koramangala,MG Road,Cash,4.7,19,Monday
37,50.01,Indiranagar,Banashankari,Online,3.0,6,Sunday
32,131.38,Indiranagar,BTM Layout,Cash,4.0,22,Tuesday
51,247.03,Electronic City,Marathahalli,Cash,3.4,19,Saturday
37,147.04,Jayanagar,HSR Layout,Cash,4.5,16,Monday
9,299.24,Jayanagar,HSR Layout,Cash,3.1,18,Thursday
52,180.95,Electronic City,Banashankari,Online,4.7,1,Saturday
23,116.71,Electronic City,HSR Layout,Cash,4.7,11,Wednesday
8,89.43,Koramangala,MG Road,Online,4.7,18,Thursday
39,124.64,Electronic City,MG Road,Online,3.3,4,Monday
53,130.58,Indiranagar,BTM Layout,Online,4.3,11,Thursday
21,48.55,Whitefield,BTM Layout,Online,3.0,16,Sunday
48,129.79,Indiranagar,BTM Layout,Cash,4.7,4,Monday
32,155.34,Electronic City,MG Road,Online,4.4,1,Friday
34,225.14,Jayanagar,BTM Layout,Online,4.1,3,Tuesday
33,207.32,Indiranagar,BTM Layout,Online,4.5,5,Tuesday
50,221.37,Jayanagar,MG Road,Online,3.2,8,Saturday
57,32.26,Indiranagar,Banashankari,Online,4.1,21,Monday
10,88.77,Jayanagar,HSR Layout,Online,3.6,9,Tuesday
39,208.65,Indiranagar,Marathahalli,Online,4.9,10,Wednesday
45,160.68,Jayanagar,MG Road,Cash,4.7,1,Saturday
41,31.43,Whitefield,MG Road,Cash,4.5,23,Wednesday
28,247.21,Koramangala,Marathahalli,Online,4.9,20,Tuesday
33,238.66,Indiranagar,Marathahalli,Online,3.7,8,Monday
53,178.07,Whitefield,BTM Layout,Cash,4.8,19,Saturday
50,47.95,Koramangala,Marathahalli,Online,3.7,16,Wednesday
57,236.96,Indiranagar,HSR Layout,Online,4.5,8,Sunday
35,187.6,Whitefield,HSR Layout,Online,4.5,7,Tuesday
39,241.13,Whitefield,HSR Layout,Online,3.0,4,Thursday
37,232.97,Whitefield,HSR Layout,Online,3.7,4,Wednesday
56,246.81,Electronic City,HSR Layout,Online,3.0,5,Friday
25,169.86,Jayanagar,BTM Layout,Online,5.0,15,Saturday
36,67.89,Koramangala,MG Road,Online,3.2,0,Wednesday
27,211.21,Jayanagar,Marathahalli,Cash,4.1,8,Saturday
37,197.53,Jayanagar,MG Road,Online,4.6,20,Tuesday
7,230.41,Jayanagar,Marathahalli,Cash,3.4,6,Tuesday
